File name,Title,Author,Year,Journal
Vol112Art4_117-260.pdf,"From chaos to tranquillity: A modern approach to the identification, nomenclature and phylogeny of Aspergillus, Penicillium and other Eurotiales, including an updated accepted species list",C. M. Visagie et al.,2025,Studies in Mycology 112: 117–260
sim78Art3.pdf,"Phylogeny, identification and nomenclature of the genus Aspergillus",R.A. Samson et al.,2014,STUDIES IN MYCOLOGY 78: 141–173
sim102Art3.pdf,Reducing the number of accepted species in Aspergillus series Nigri,C. Bian et al.,2022,Studiesin Mycology 102: 95–132 
Cover CBS lab Man 2.pdf,Food and Indoor Fungi Second edition,Robert A. Samson et al.,2019,Westerdijk Fungal Biodiversity Institute
Houbraken & Samson 2017 COFS 17 84-88.pdf,Current taxonomy and identification of food borne fungi,"J. Houbraken, and R.A. Samson",2017,"Current Opinion in Food Science 2017, 17:84–88"
Houbraken and Samson 2011 SIM70 1-51.pdf,Phylogeny of Penicillium and the segregation of Trichocomaceae into three families,"J. Houbraken, and R.A. Samson",2011,Studiesin Mycology 70: 1–51
Houbraken et al 2011 IMAFungus 2 87-95.pdf,Fleming's penicillin producing strain is not Penicillium chrysogenum but P. rubens,"Jos Houbraken, Jens C. Frisvad, and Robert A. Samson",2011,IMA Fungus
Houbraken et al 2014 Adv Appl Microbiol 86 199-249.pdf,Modern Taxonomy of Biotechnologically Important Aspergillus and Penicillium Species,"Jos Houbraken, Ronald P. de Vries, Robert A. Samson",2014,"Advances in Applied Microbiology, Volume 86"
Houbraken et al 2016 Book Chapter Taxonomy of Asp.pdf,"Taxonomy of Aspergillus, Penicillium and Talaromyces and its Significance for Biotechnology","Jos Houbraken, Robert A. Samson and Neriman Yilmaz",2016,Book Chapter Taxonomy of Asp
Houbraken et al 2016 Persoonia 36 299-314.pdf,"New sections in Penicillium containing novel species producing patulin, pyripyropens or other bioactive compounds","J. Houbraken, L. Wang, H.B. Lee, J.C. Frisvad",2016,Persoonia
Houbraken et al 2020 Stud Mycol 95 5-169.pdf,"Classification of Aspergillus, Penicillium, Talaromyces and related genera (Eurotiales): An overview of families, genera, subgenera, sections, series and species",J. Houbraken  et al.,2020,STUDIES IN MYCOLOGY 95: 5–169 
Houbraken et al 2021 Microbiol Res Ann 10 01074-20.pdf,Recommendations To Prevent Taxonomic Misidentification of Genome-Sequenced Fungal Strains,"Jos Houbraken, Cobus M. Visagie, Jens C. Frisvad",2021,Microbiology Resource Announcements
Rico-Munoz et al 2019 Food Microbiol 81 51-62.pdf,Mould spoilage of foods and beverages: Using the right methodology,"Emilia Rico-Munoz, Robert A. Samson, Jos Houbraken",2019,Food Microbiology 81 (2019) 51e62
Visagie et al 2013 Persoonia 31 42-62.pdf,Five new Penicillium species in section Sclerotiora: a tribute to the Dutch Royal family ,C.M. Visagie  et al.,2013,Persoonia
Visagie et al 2016 Persoonia 36 247-280.pdf,Fifteen new species of Penicillium ,C.M. Visagie  et al.,2016,Persoonia
"Vol93Art1_Taxonomy_of_Aspergillus_section_Flavi_and_their_production_of_aflatoxins,_ochratoxins_and_other_mycotoxins.pdf","Taxonomy of Aspergillus section Flavi and their production of aflatoxins, ochratoxins and other mycotoxins",J.C. Frisvad  et al.,2019,STUDIES IN MYCOLOGY 93: 1–63 
Vol84Art1_Aspergillus-section-Nidulantes--formerly-Emericella---Polyp_2016_Studies-in-.pdf,"Aspergillus section Nidulantes (formerly Emericella): Polyphasic taxonomy, chemistry and biology",A.J. Chen et al.,2016,STUDIES IN MYCOLOGY 84: 1–118
Vol98Art1_Fusarium--more-than-a-node.pdf,Fusarium: more than a node or a foot-shaped basal cell,P. W. Crous et al.,2021,STUDIES IN MYCOLOGY 98: 100116 
Vol100Art1_Aspergillus-fumigatus-and-aspergillosis.pdf,Aspergillus fumigatus and aspergillosis: From basics to clinics,"A. Arastehfar, A. Carvalho, J. Houbraken, L. Lombardi, R. Garcia-Rubio, J.D. Jenks, O. Rivero-Menendez, R. Aljohani,",2021,STUDIES IN MYCOLOGY 100: 100115 
Vol88Art4_Phylogeny-of-xerophilic-aspergilli--subgenus-Aspergillus--a_2017_Studies-in-.pdf,Phylogeny of xerophilic aspergilli (subgenus Aspergillus) and taxonomic revision of section Restricti,I.D. Jacobsen et al.,2017,STUDIES IN MYCOLOGY 88: 161–236 
sim102Art1.pdf,A monograph of Aspergillus section Candidi A monograph of Aspergillus section Candidi,"J. Meletiadis, M. Kostrzewa, W.Pan, C. Lass-Flörl, D.S. Perlin, and M. Hoenigl",2022,Studiesin Mycology 102: 1–51 
sim78Art1.pdf,Ochratoxin production and taxonomy of the yellow aspergilli (Aspergillus section Circumdati),C.M. Visagie  et al.,2014,STUDIES IN MYCOLOGY 78: 1–61
Vol99Art3_Re-examination-of-species-limits-in-Aspergillus-section-Flavip_2021_Studies-.pdf,Re-examination of species limits in Aspergillus section Flavipedes using advanced species delimitation methods and description of four new species,F. Sklenar et al.,2021,STUDIES IN MYCOLOGY 99: 100120 
Vol88Art5_Aspergillus-subgenus-Polypaecilum-from-the-built-envir_2017_Studies-in-Mycol.pdf,Aspergillus subgenus Polypaecilum from the built environment,"J.B. Tanney, C.M. Visagie, N. Yilmaz, and K.A. Seifert",2017,STUDIES IN MYCOLOGY 88: 237–267 
