File name,Title,Author,Publication Year,Journal,Rank
Arx 1971 Persoonia 6 371-380.pdf,ON ARACHNIOTUS AND RELATED GENERA OF THE GYMNOASCACEAE,J.A. von Arx,1971,Persoonia,0
Arx and Samson 1986 Persoonia 13 185-188.pdf,"MALLOCHIA, A NEW GENUS OF THE EUROTIALES",J. A. VON ARX & R. A. SAMSON,1986,Persoonia,0
Barbosa et al 2018 Ant Leeuwenhoek 111 1883-1912.pdf," New Penicillium and Talaromyces species from honey, pollen and nests of stingless bees", Renan N. Barbosa.Jadson D. P. Bezerra.Cristina M. Souza-Motta. Jens C. Frisvad.Robert A. Samson.Neiva T. Oliveira.Jos Houbraken,2018,Antonie van Leeuwenhoek (2018) 111:1883–1912 ,0
Book CBS lab Man 2.pdf,Food and indoor fungi,"Robert A. Samson, Jos Houbraken, Ulf Thrane, Jens C. Frisvad, Birgitte Andersen",2010,CBS-KNAW Fungal Biodiversity Centre,0
Cover CBS lab Man 2.pdf,Food and Indoor Fungi Second edition,"Robert A. Samson, Jos Houbraken, Ulf Thrane, Jens C. Frisvad, Birgitte Andersen",2019,Westerdijk Fungal Biodiversity Institute,1
Crous et al 2014 Persoonia 33 284-285.pdf,Fungal Planet 318 – 24 November 2014,"Holdom, Y.P. Tan & R.G.",2014,Persoonia,0
Crous et al 2015 Persoonia 35 264-327.pdf, Fungal Planet description sheets: 371–399," P.W. Crous, M.J. Wingfield, J.J. Le Roux, D.M. Richardson, D. Strasberg, R.G. Shivas, P. Alvarado, J. Edwards, G. Moreno, R. Sharma, M.S. Sonawane, Y.P. Tan, A. Altés, T. Barasubiye, C.W. Barnes, R.A. Blanchette, D. Boertmann, A. Bogo, J.R. Carlavilla, R. Cheewangkoon, R. Daniel, Z.W. de Beer, M. de Jesús Yáñez-Morales, T.A. Duong, J. Fernández-Vicente, A.D.W. Geering, D.I. Guest, B.W. Held, M. Heykoop, V. Hubka, A.M. Ismail, S.C. Kajale, W. Khemmuk, M. Kola?ík, R. Kurli, R. Lebeuf, C.A. Lévesque, L. Lombard, D. Magista, J.L. Manjón, S. Marincowitz, J.M. Mohedano, A. Nováková, N.H. Oberlies, E.C. Otto, N.D. Paguigan, I.G. Pascoe, J.L. Pérez-Butrón, G. Perrone, P. Rahi, H.A. Raja, T. Rintoul, R.M.V. Sanhueza, K. Scarlett, Y.S. Shouche, L.A. Shuttleworth, P.W.J. Taylor, R.G. Thorn, L.L. Vawdrey, R. Solano-Vidal, A. Voitk, P.T.W. Wong, A.R. Wood, J.C. Zamora, J.Z. Groenewald",2015,Persoonia,0
Crous et al 2016 Persoonia 36 316-458.pdf, Fungal Planet description sheets: 400–468," P.W. Crous, M.J. Wingfield, D.M. Richardson, J.J. Le Roux, D. Strasberg, J. Edwards, F. Roets, V. Hubka, P.W.J. Taylor, M. Heykoop, M.P. Martín, G. Moreno, D.A. Sutton, N.P. Wiederhold, C.W. Barnes, J.R. Carlavilla, J. Gené, A. Giraldo, V. Guarnaccia, J. Guarro, M. Hernández-Restrepo, M. Kola?ík, J.L. Manjón, I.G. Pascoe, E.S. Popov, M. Sandoval-Denis, J.H.C. Woudenberg, K. Acharya, A.V. Alexandrova, P. Alvarado, R.N. Barbosa, I.G. Baseia, R.A. Blanchette, T. Boekhout, T.I. Burgess, J.F. Cano-Lira, A. ?moková, R.A. Dimitrov, M.Yu. Dyakov, M. Dueñas, A.K. Dutta, F. Esteve-Raventós, A.G. Fedosova, J. Fournier, P. Gamboa, D.E. Gouliamova, T. Grebenc, M. Groenewald, B. Hanse, G.E.St.J. Hardy, B.W. Held, Ž. Jurjevi?, T. Kaewgrajang, K.P.D. Latha, L. Lombard, J.J. Luangsa-ard, P. Lysková, N. Mallátová, P. Manimohan, A.N. Miller, M. Mirabolfathy, O.V. Morozova, M. Obodai, N.T. Oliveira, M.E. Ordóñez, E.C. Otto, S. Paloi, S.W. Peterson, C. Phosri, J. Roux, W.A. Salazar, A. Sánchez, G.A. Sarria, H.-D. Shin, B.D.B.",2016,Persoonia,0
Crous et al 2016 Persoonia 37 218-403.pdf, Fungal Planet description sheets: 469–557," P.W. Crous, M.J. Wingfield, T.I. Burgess, G.E.St.J. Hardy, C. Crane, S. Barrett, J.F. Cano-Lira, J.J. Le Roux, R. Thangavel, J. Guarro, A.M. Stchigel, M.P. Martín, D.S. Alfredo, P.A. Barber, R.W. Barreto, I.G. Baseia, J. Cano-Canals, R. Cheewangkoon, R.J. Ferreira, J. Gené, C. Lechat, G. Moreno, F. Roets, R.G. Shivas, J.O. Sousa, Y.P. Tan, N.P. Wiederhold, S.E. Abell, T. Accioly, J.L. Albizu, J.L. Alves, Z.I. Antoniolli, N. Aplin, J. Araújo, M. Arzanlou, J.D.P. Bezerra, J.-P. Bouchara, J.R. Carlavilla, A. Castillo, V.L. Castroagudín, P.C. Ceresini, G.F. Claridge, G. Coelho, V.R.M. Coimbra, L.A. Costa, K.C. da Cunha, S.S. da Silva, R. Daniel, Z.W. de Beer, M. Dueñas, J. Edwards, P. Enwistle, P.O. Fiuza, J. Fournier, D. García, T.B. Gibertoni, S. Giraud, M. Guevara-Suarez, L.F.P. Gusmão, S. Haituk, M. Heykoop, Y. Hirooka, T.A. Hofmann, J. Houbraken, D.P. Hughes, I. Kautmanová, O. Koppel, O. Koukol, E. Larsson, K.P.D. Latha, D.H. Lee, D.O. Lisboa, W.S. Lisboa, Á. López-Villalba, J.L.N. Maciel, P. Manimohan, J.L. Manjón, S. Marincowitz, T.S. Marney, M. Meijer, A.N. Miller, I. Olariaga, L.M. Paiva, M. Piepenbring, J.C. Poveda-Molero, K.N.A. Raj, H.A. Raja, A. Rougeron, I. Salcedo, R. Samadi, T.A.B. Santos, K. Scarlett, K.A. Seifert, L.A. Shuttleworth, G.A. Silva, M. Silva, J.P.Z. Siqueira, C.M. Souza-Motta, S.L. Stephenson, D.A. Sutton, N. Tamakeaw, M.T. Telleria, N. Valenzuela-Lopez, A. Viljoen, C.M. Visagie, A. Vizzini, F. Wartchow, B.D. Wingfield, E. Yurchenko, J.C. Zamora, J.Z. Groenewald",2016,Persoonia,0
Crous et al 2017 Persoonia 38 240-384.pdf, Fungal Planet description sheets: 558–624," P.W. Crous, M.J. Wingfield, T.I. Burgess, G.E.St.J. Hardy, P.A. Barber, P. Alvarado, C.W. Barnes, P.K. Buchanan, M. Heykoop, G. Moreno, R. Thangavel, S. van der Spuy, A. Barili, S. Barrett, S.O. Cacciola, J.F. Cano-Lira, C. Crane, C. Decock, T.B. Gibertoni, J. Guarro, M. Guevara-Suarez, V. Hubka, M. Kola?ík, C.R.S. Lira, M.E. Ordoñez, M. Padamsee, L. Ryvarden, A.M. Soares, A.M. Stchigel, D.A. Sutton, A. Vizzini, B.S. Weir, K. Acharya, F. Aloi, I.G. Baseia, R.A. Blanchette, J.J. Bordallo, Z. Bratek, T. Butler, J. Cano-Canals, J.R. Carlavilla, J. Chander, R. Cheewangkoon, R.H.S.F. Cruz, M. da Silva, A.K. Dutta, E. Ercole, V. Escobio, F. Esteve-Raventós, J.A. Flores, J. Gené, J.S. Góis, L. Haines, B.W. Held, M. Horta Jung, K. Hosaka, T. Jung, Ž. Jurjevi?, V. Kautman, I. Kautmanova, A.A. Kiyashko, M. Kozanek, A. Kubátová, M. Lafourcade, F. La Spada, K.P.D. Latha, H. Madrid, E.F. Malysheva, P. Manimohan, J.L. Manjón, M.P. Martín, M. Mata, Z. Merényi, A. Morte, I. Nagy, A.-C. Normand, S. Paloi, N. Pattison, J. Paw?owska, O.L. Pereira, M.E. Petterson, B. Picillo, K.N.A. Raj, A. Roberts, A. Rodríguez, F.J. Rodríguez-Campo, M. Roma?ski, M. Ruszkiewicz-Michalska, B. Scanu, L. Schena, M. Semelbauer, R. Sharma, Y.S. Shouche, V. Silva, M. Staniaszek-Kik, J.B. Stielow, C. Tapia, P.W.J. Taylor, M. Toome-Heller, J.M.C. Vabeikhokhei, A.D. van Diepeningen, N. Van Hoa, M. Van Tri, N.P. Wiederhold, M. Wrzosek, J. Zothanzama, J.Z. Groenewald",2017,Persoonia,0
